ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
430,0,0,106,0,-106
431,1,0,10,0,-10
432,0,0,3,0,-3
433,1,0,16,0,-16
434,1,1,308,1361,1053
435,1,1,484,1424,940
436,0,0,51,0,-51
437,1,1,1441,1308,-133
438,1,1,376,1426,1050
439,0,0,57,0,-57
440,1,0,9,0,-9
441,0,0,60,0,-60
442,1,1,1176,2894,1718
443,1,1,586,1411,825
444,1,1,422,1405,983
445,1,1,673,2130,1457
446,1,0,31,0,-31
447,1,1,253,1565,1312
448,1,0,31,0,-31
449,1,0,36,0,-36
450,0,0,28,0,-28
451,0,0,14,0,-14
452,1,1,253,1387,1134
453,0,0,83,0,-83
454,1,1,1054,1621,567
455,1,0,4,0,-4
456,0,0,2,0,-2
457,0,0,28,0,-28
458,1,0,62,0,-62
459,1,1,242,1488,1246
460,1,0,74,0,-74
461,0,0,184,0,-184
462,0,0,14,0,-14
463,1,1,1251,1582,331
464,1,0,97,0,-97
465,1,0,46,0,-46
466,1,1,535,1349,814
467,1,0,71,0,-71
468,0,0,23,0,-23
469,1,1,1961,1278,-683
470,1,1,43,2131,2088
471,1,0,0,0,0
472,1,0,26,0,-26
473,1,0,14,0,-14
474,0,0,9,0,-9
475,0,0,25,0,-25
476,1,1,398,1914,1516
477,1,0,58,0,-58
478,1,1,464,1446,982
479,1,0,6,0,-6
480,0,0,47,0,-47
481,0,0,23,0,-23
482,1,1,549,1779,1230
483,0,0,35,0,-35
484,1,1,628,2447,1819
485,1,1,234,1515,1281
486,0,0,41,0,-41
487,0,0,104,0,-104
488,0,0,175,0,-175
489,1,0,39,0,-39
490,1,0,1,0,-1
491,1,1,424,1253,829
492,0,0,87,0,-87
493,0,0,124,0,-124
494,1,0,81,0,-81
495,0,0,109,0,-109
496,0,0,14,0,-14
497,0,0,31,0,-31
498,1,0,56,0,-56
499,0,0,21,0,-21
500,1,1,323,1448,1125
501,1,0,88,0,-88
502,1,0,13,0,-13
503,0,0,55,0,-55
504,1,0,27,0,-27
505,1,1,356,1273,917
506,1,0,139,0,-139
507,0,0,40,0,-40
508,1,0,61,0,-61
509,1,1,275,1857,1582
510,1,1,148,1279,1131
511,1,0,45,0,-45
512,1,1,33,1253,1220
513,0,0,62,0,-62
514,0,0,15,0,-15
515,0,0,111,0,-111
516,1,0,5,0,-5
517,0,0,25,0,-25
518,1,0,27,0,-27
519,1,1,666,1235,569
520,0,0,35,0,-35
521,1,1,270,1490,1220
522,1,0,73,0,-73
523,1,1,278,1385,1107
524,1,1,265,3405,3140
525,1,0,12,0,-12
526,0,0,2,0,-2
527,0,0,76,0,-76
528,1,0,25,0,-25
529,0,0,97,0,-97
530,0,0,18,0,-18
