ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
607,1,0,1,0,-1
608,1,1,64,1296,1232
609,1,1,112,1427,1315
610,1,0,32,0,-32
611,0,0,27,0,-27
612,1,1,244,1540,1296
613,1,1,299,1386,1087
614,0,0,6,0,-6
615,1,1,897,1253,356
616,0,0,126,0,-126
617,1,0,20,0,-20
618,1,0,67,0,-67
619,1,1,296,1690,1394
620,0,0,37,0,-37
621,0,0,131,0,-131
622,1,0,299,0,-299
623,0,0,2,0,-2
624,0,0,114,0,-114
625,0,0,109,0,-109
626,1,1,305,1237,932
627,0,0,70,0,-70
628,0,0,34,0,-34
629,0,0,23,0,-23
630,0,0,93,0,-93
631,1,0,5,0,-5
632,1,0,14,0,-14
633,1,1,336,1343,1007
634,1,1,62,1924,1862
635,1,1,360,1631,1271
636,1,1,545,1321,776
637,1,1,972,1225,253
638,0,0,54,0,-54
639,1,1,612,1382,770
640,0,0,158,0,-158
641,1,0,30,0,-30
642,1,1,91,1218,1127
643,0,0,86,0,-86
644,1,1,182,1243,1061
645,0,0,83,0,-83
646,0,0,82,0,-82
647,1,1,669,1361,692
648,0,0,20,0,-20
649,1,1,607,1862,1255
650,0,0,6,0,-6
651,1,1,536,2496,1960
652,1,1,1168,1411,243
653,0,0,39,0,-39
654,1,1,1185,1504,319
655,1,1,1395,1366,-29
656,0,0,43,0,-43
657,1,0,20,0,-20
658,1,1,387,1242,855
659,0,0,145,0,-145
660,0,0,58,0,-58
661,0,0,27,0,-27
662,1,1,450,1217,767
663,1,1,469,1287,818
664,0,0,38,0,-38
665,1,1,48,1227,1179
666,1,0,145,0,-145
667,1,1,554,1615,1061
668,0,0,9,0,-9
669,1,0,75,0,-75
670,1,1,144,1283,1139
671,0,0,10,0,-10
672,0,0,66,0,-66
673,1,0,43,0,-43
674,1,0,18,0,-18
675,0,0,14,0,-14
676,1,0,36,0,-36
677,0,0,11,0,-11
678,0,0,30,0,-30
679,1,0,46,0,-46
680,1,1,612,1370,758
681,1,1,267,1499,1232
682,0,0,5,0,-5
683,1,0,52,0,-52
684,1,1,820,1305,485
685,0,0,46,0,-46
686,1,1,720,1518,798
687,1,0,24,0,-24
688,1,0,29,0,-29
689,1,0,13,0,-13
690,0,0,1,0,-1
691,0,0,38,0,-38
692,0,0,49,0,-49
693,1,0,38,0,-38
694,0,0,30,0,-30
695,1,0,51,0,-51
696,0,0,4,0,-4
697,1,0,51,0,-51
698,0,0,43,0,-43
699,0,0,65,0,-65
700,1,1,271,1750,1479
701,1,1,1104,1905,801
702,0,0,111,0,-111
703,0,0,20,0,-20
704,1,0,38,0,-38
705,1,0,89,0,-89
706,0,0,1,0,-1
707,0,0,81,0,-81
708,0,0,8,0,-8
709,1,0,6,0,-6
710,0,0,32,0,-32
711,1,1,144,1618,1474
712,1,0,115,0,-115
713,1,1,210,1377,1167
714,0,0,37,0,-37
715,0,0,19,0,-19
716,1,1,156,1271,1115
717,1,1,1414,2652,1238
718,1,0,10,0,-10
719,1,0,84,0,-84
720,1,0,72,0,-72
721,0,0,28,0,-28
722,0,0,8,0,-8
723,1,1,356,2960,2604
724,1,0,32,0,-32
725,1,1,1099,1637,538
726,1,1,56,2002,1946
727,1,0,90,0,-90
728,1,1,705,1948,1243
729,1,1,43,1229,1186
730,1,0,2,0,-2
731,0,0,73,0,-73
732,1,1,700,1326,626
733,1,0,157,0,-157
734,1,1,454,1605,1151
735,1,0,168,0,-168
736,1,0,12,0,-12
737,1,0,103,0,-103
738,0,0,4,0,-4
739,1,0,76,0,-76
740,0,0,50,0,-50
741,0,0,120,0,-120
742,0,0,18,0,-18
743,1,1,1839,1580,-259
744,0,0,51,0,-51
745,1,1,1473,1307,-166
746,0,0,192,0,-192
747,1,1,135,3225,3090
748,0,0,5,0,-5
749,1,0,1,0,-1
750,1,1,324,3654,3330
751,1,0,23,0,-23
752,0,0,28,0,-28
753,0,0,16,0,-16
754,1,0,10,0,-10
755,0,0,41,0,-41
756,0,0,28,0,-28
757,0,0,80,0,-80
758,0,0,50,0,-50
759,1,1,516,1232,716
760,1,0,14,0,-14
761,1,1,1140,1251,111
762,0,0,100,0,-100
763,1,1,76,2023,1947
764,1,0,49,0,-49
765,1,0,60,0,-60
766,1,1,334,2204,1870
767,1,0,61,0,-61
768,1,1,1412,1391,-21
769,0,0,138,0,-138
770,0,0,8,0,-8
771,1,0,128,0,-128
772,0,0,16,0,-16
773,1,0,39,0,-39
774,0,0,157,0,-157
775,1,1,255,1449,1194
776,1,1,656,1331,675
777,0,0,20,0,-20
778,0,0,40,0,-40
779,1,1,164,1463,1299
780,0,0,16,0,-16
781,1,0,55,0,-55
782,0,0,37,0,-37
783,1,1,724,1670,946
784,1,0,9,0,-9
785,1,1,896,1756,860
786,0,0,7,0,-7
787,1,0,83,0,-83
788,0,0,50,0,-50
789,0,0,11,0,-11
790,1,1,168,2001,1833
791,0,0,154,0,-154
792,0,0,8,0,-8
793,0,0,9,0,-9
794,0,0,46,0,-46
795,0,0,48,0,-48
796,1,0,2,0,-2
797,1,1,1459,1313,-146
798,1,1,548,1559,1011
799,0,0,165,0,-165
800,1,1,730,2000,1270
801,1,1,164,1201,1037
802,1,0,26,0,-26
803,1,1,265,1259,994
804,1,0,1,0,-1
805,0,0,137,0,-137
806,1,1,282,1796,1514
807,1,1,160,1327,1167
808,1,0,59,0,-59
809,1,0,8,0,-8
810,1,0,99,0,-99
811,0,0,11,0,-11
812,1,0,60,0,-60
813,1,0,67,0,-67
814,0,0,8,0,-8
815,0,0,101,0,-101
816,0,0,72,0,-72
817,0,0,16,0,-16
818,0,0,32,0,-32
819,1,1,24,1435,1411
820,0,0,22,0,-22
821,0,0,5,0,-5
822,1,1,561,1202,641
823,1,1,187,1257,1070
824,0,0,10,0,-10
825,1,1,951,1416,465
826,0,0,75,0,-75
827,1,1,867,1264,397
828,1,0,51,0,-51
829,0,0,101,0,-101
830,1,0,8,0,-8
831,1,1,505,1440,935
832,1,1,374,1500,1126
833,1,0,56,0,-56
834,1,1,8,1719,1711
835,0,0,5,0,-5
836,1,0,2,0,-2
837,0,0,145,0,-145
838,1,0,72,0,-72
839,1,0,43,0,-43
840,0,0,39,0,-39
841,0,0,47,0,-47
